Experiment,Problem,Type,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
Baxter,P6_i5,SIMU,5,242,13,155,8,21,12,70,25
Baxter,P6_i5,SIMU,10,239,11,150,9,19,8,46,30
Baxter,P6_i5,PLAN,0.1,278,167,186,32,49,165,361,16.1
Baxter,P6_i5,PLAN,1,261,167,167,12,25,21,73,16.1
Baxter,P6_i5,PLAN,2,250,177,161,8,23,13,57,17.1
Baxter,P6_i5,PLAN,3,244,177,157,11,23,10,51,17.1
Baxter,P6_i5,PLAN,5,246,167,158,8,21,8,47,16.1
Baxter,P6_i5,PLAN,10,TO,-,-,-,-,-,-,-
Baxter,P6_i5,DOMAIN,0.1,258,328,171,15,31,22,96,16.1
Baxter,P6_i5,DOMAIN,1,262,184,172,13,29,22,96,16.1
Baxter,P6_i5,DOMAIN,2,268,208,180,15,33,35,101,18.9
Baxter,P6_i5,DOMAIN,3,267,183,178,20,40,61,123,17.1
Baxter,P6_i5,DOMAIN,5,262,171,176,13,31,40,81,16.1
Baxter,P6_i5,DOMAIN,10,270,221,181,14,33,45,85,21.1
Baxter,P7_i1,SIMU,0.1,788,392,697,492,552,2840,13313,27.6
Baxter,P7_i1,SIMU,1,272,36,185,28,43,43,223,25
Baxter,P7_i1,SIMU,2,242,24,171,19,34,24,125,26
Baxter,P7_i1,SIMU,3,260,20,173,19,32,22,120,27
Baxter,P7_i1,SIMU,5,260,20,173,25,36,40,136,40
Baxter,P7_i1,SIMU,10,248,11,160,10,22,7,53,30
Baxter,P7_i1,PLAN,0.1,790,392,713,518,568,2840,13313,27.6
Baxter,P7_i1,PLAN,1,311,323,213,40,65,70,502,28.5
Baxter,P7_i1,PLAN,2,286,315,199,25,50,35,249,29.5
Baxter,P7_i1,PLAN,3,269,309,193,26,45,24,166,29.5
Baxter,P7_i1,PLAN,5,282,319,193,20,43,17,133,30.5
Baxter,P7_i1,PLAN,10,TO,-,-,-,-,-,-,-
Baxter,P7_i1,DOMAIN,0.1,291,341,190,17,36,22,108,16.7
Baxter,P7_i1,DOMAIN,1,256,191,183,16,37,22,108,16.7
Baxter,P7_i1,DOMAIN,2,271,193,181,16,31,23,77,17.7
Baxter,P7_i1,DOMAIN,3,281,190,194,23,42,51,125,17.7
Baxter,P7_i1,DOMAIN,5,279,178,189,17,37,45,94,16.7
Baxter,P7_i1,DOMAIN,10,TO,-,-,-,-,-,-,-
Baxter,P7_i2,SIMU,0.1,328,218,229,52,84,392,1054,21.1
Baxter,P7_i2,SIMU,1,273,27,184,31,45,55,254,22
Baxter,P7_i2,SIMU,2,257,17,169,20,32,26,124,24
Baxter,P7_i2,SIMU,3,320,16,230,71,92,424,1196,27
Baxter,P7_i2,SIMU,5,294,14,203,45,64,183,567,35
Baxter,P7_i2,SIMU,10,276,20,189,37,52,90,337,60
Baxter,P7_i2,PLAN,0.1,298,218,227,71,88,392,1054,21.1
Baxter,P7_i2,PLAN,1,280,218,181,20,37,32,119,21.3
Baxter,P7_i2,PLAN,2,263,228,176,18,35,21,98,22.3
Baxter,P7_i2,PLAN,3,TO,-,-,-,-,-,-,-
Baxter,P7_i2,PLAN,5,268,258,180,15,36,14,85,25.3
Baxter,P7_i2,PLAN,10,TO,-,-,-,-,-,-,-
Baxter,P7_i2,DOMAIN,0.1,267,431,195,26,42,31,145,21.3
Baxter,P7_i2,DOMAIN,1,280,240,190,21,41,31,145,21.3
Baxter,P7_i2,DOMAIN,2,284,242,193,22,45,55,158,22.3
Baxter,P7_i2,DOMAIN,3,333,283,245,49,87,332,622,26.3
Baxter,P7_i2,DOMAIN,5,298,264,210,32,62,151,294,25.3
Baxter,P7_i2,DOMAIN,10,TO,-,-,-,-,-,-,-
Baxter,P7_i3,SIMU,0.1,907,324,829,622,688,3392,16744,22.5
Baxter,P7_i3,SIMU,1,254,23,168,16,30,22,83,18
Baxter,P7_i3,SIMU,2,249,14,162,13,24,13,65,18
Baxter,P7_i3,SIMU,3,279,23,191,40,52,74,333,39
Baxter,P7_i3,SIMU,5,260,20,174,23,35,20,138,40
Baxter,P7_i3,SIMU,10,249,7,162,12,24,11,58,30
Baxter,P7_i3,PLAN,0.1,930,324,838,639,699,3392,16744,22.5
Baxter,P7_i3,PLAN,1,314,280,222,43,70,73,547,23.2
Baxter,P7_i3,PLAN,2,266,171,176,14,31,13,65,16.2
Baxter,P7_i3,PLAN,3,267,181,178,12,28,10,59,17.2
Baxter,P7_i3,PLAN,5,267,191,175,13,28,8,55,18.2
Baxter,P7_i3,PLAN,10,258,191,174,12,28,6,51,18.2
Baxter,P7_i3,DOMAIN,0.1,327,512,240,54,85,85,746,23.2
Baxter,P7_i3,DOMAIN,1,325,304,237,58,84,85,746,23.2
Baxter,P7_i3,DOMAIN,2,312,285,219,35,66,133,375,24.2
Baxter,P7_i3,DOMAIN,3,301,286,212,28,60,110,302,25.5
Baxter,P7_i3,DOMAIN,5,285,207,201,25,50,95,167,19.8
Baxter,P7_i3,DOMAIN,10,281,205,197,20,42,71,118,19.8
Baxter,P7_i4,SIMU,0.1,460,182,373,193,230,1031,4714,15.2
Baxter,P7_i4,SIMU,1,290,24,199,38,52,71,312,16
Baxter,P7_i4,SIMU,2,273,22,187,26,41,33,197,20
Baxter,P7_i4,SIMU,3,266,20,183,27,41,32,194,24
Baxter,P7_i4,SIMU,5,266,16,178,25,39,39,154,25
Baxter,P7_i4,SIMU,10,250,12,166,14,26,10,78,30
Baxter,P7_i4,PLAN,0.1,461,182,373,181,229,1031,4714,15.2
Baxter,P7_i4,PLAN,1,274,167,185,23,38,26,130,15.9
Baxter,P7_i4,PLAN,2,269,179,180,21,36,17,113,16.9
Baxter,P7_i4,PLAN,3,271,209,180,18,36,15,109,19.9
Baxter,P7_i4,PLAN,5,TO,-,-,-,-,-,-,-
Baxter,P7_i4,PLAN,10,272,253,182,15,34,9,77,24.3
Baxter,P7_i4,DOMAIN,0.1,291,326,202,31,50,38,243,15.9
Baxter,P7_i4,DOMAIN,1,286,183,198,31,50,38,243,15.9
Baxter,P7_i4,DOMAIN,2,299,257,213,36,68,153,394,22.3
Baxter,P7_i4,DOMAIN,3,308,237,220,38,72,207,422,21.3
Baxter,P7_i4,DOMAIN,5,303,264,213,27,66,183,350,24.9
Baxter,P7_i4,DOMAIN,10,286,255,193,22,47,79,150,24.3
Baxter,P7_i5,SIMU,0.1,960,434,865,669,726,4572,18074,37.2
Baxter,P7_i5,SIMU,1,280,56,193,36,53,95,334,40
Baxter,P7_i5,SIMU,2,273,37,185,31,47,69,244,42
Baxter,P7_i5,SIMU,3,270,32,194,33,51,92,306,45
Baxter,P7_i5,SIMU,5,292,32,202,36,59,146,422,60
Baxter,P7_i5,SIMU,10,339,45,250,85,111,610,1421,120
Baxter,P7_i5,PLAN,0.1,1007,434,930,713,788,4572,18074,37.2
